my.site.num,study.site,study,"jumping.worms (Amynthus, metaphire, megascolecids)",area.sampled.m2,site.replicates,replicate.size.m2,collection.method,replicate.mindistance.m,site.mindistance,sampling.notes,sample.year,sample.month,latitude,longitude,country,state/province,dist.road,elevation,altitude.m.asl,habitat.type,dom.tree.spp,dom.tree,dom.veg.spp,dom.veg,annual.precip.mm,ph,ph.method,soil.moisture.pct,mean.july.tempc,mean.jan.tempc,mean.study.temp,soil.temp,mean.annu.soil.temp,organic.C.kg,organic.N,soil.organic.matter%,lum.spp.richness,native.spp.richness,jumping.spp.richness,spp.richness,Max.pack.num,Dendrobaena.octaedra,Lumbricus.unknown,Aporrect.unknown,Dendrobaena.unknown,Lumbricus.rubellus,en.Dendrobaena.aplina,a.Lumbricus.terrestris,Octalasion.tyrtaeum,Octalasian.unknown,Aporrectodea.caliginosa,Apporectodea.rosea,Aporrectodea.turgida (APTU),Bimastos.rubidus,Unknown,Lumbricus.castaneus,Dendrodrilus.unknown,Octolasion.cyaneum,Amynthas.agrestis,Eisenia.fetida,Allolobophora.chlorotica,Aporrectodea.longa,endo.unknown,Amynthas.unknown,Eisenoides.lonnbergi,Eisenia.teteadra,Amynthas.tokioensis,epi.unknown,epi/endo.unknown,Dendrodrilus.terrestris,Lumbricus.octaedra,anecic.unknown,row.totals
147,HAM-UF,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.416878,-76.302632,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,11,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
153,YEL-UF,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.458495,-76.341342,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,11,2,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
152,YEL-F,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.458495,-76.341342,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,11,3,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11
140,BOB-F,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.386538,-76.245636,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,10,4,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
141,BOB-UF,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.386538,-76.245636,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,10,5,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
143,CON-F,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.337451,-76.681718,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,10,6,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
146,HAM-F,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.416878,-76.302632,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,10,7,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
41,BGPL,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2014,June,42.910000,-75.88775,US,New York,37.1,417,,deciduous forest,,,,,,6.35,,,,,,,,,,,,,,9,8,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
150,RIN-UF,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.447808,-76.362714,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,9,9,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
83,KFLD,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,June,42.89956,-75.87469,US,New York,260,378,,deciduous forest,,,,,,5.21,,,,,,,,,,,,,,9,10,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
97,SHGU,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,June,42.90998,-75.89203,US,New York,230,377,,deciduous forest,,,,,,5.79,,,,,,,,,,,,,,8,11,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
123,AKYD,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,ADK site,2013,July,43.34156,-74.06955,US,New York,,,,yard,,,,,,5.94,,,,,,,,,,,,,,8,12,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8
125,EKYD,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,ADK site,2013,July,,,US,New York,,,,yard,,,,,,6.16,,,,,,,,,,,,,,8,13,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
130,HP01,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Other NY sites,2013,July,,,US,New York,,,,deciduous forest,,,,,,5.01,,,,,,,,,,,,,,8,14,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
144,CON-UF,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.337451,-76.681718,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,8,15,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
80,GRAL,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,June,42.91717,-75.88884,US,New York,425,434,,deciduous forest,,,,,,5.41,,,,,,,,,,,,,,8,16,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
202,2,Hopfensperger&Hamilton2015,N,1.08,12,0.09,mustard,NA,NA,x3 400 m2 stands in each site,2011,July,39.271667,-84.511944,US,Ohio,,,,mesophytic forest,Fagus grandifolia,Ehrh,,,1120,6.02,Robertson et al. (1999).,57,27,,27,19.5,,,2.16,,,,,8,17,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
37,APHG,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,July,42.9142,-75.83349,US,New York,300,467,,deciduous forest,,,,,,5.37,,,,,,,,,,,,,,8,18,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
96,SHG2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2014,June,42.911002,-75.89193,US,New York,326.02,380,,deciduous forest,,,,,,5.03,,,,,,,,,,,,,,7,19,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
128,WLYD,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,ADK site,2013,July,43.43035,-74.72759,US,New York,,,,yard,,,,,,4.59,,,,,,,,,,,,,,7,20,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
715,1582,"Loss et al., 2012",No,0.3267,3,0.1089,Yelow mustard,,,,2010,Feb,45.660366,-90.099262,US,Wisconsin,,,,Hardwook Forest,Tilia americana,Sugar maple/basswood,,,670,,,,20,-15,,,,,,,,,,7,21,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
717,1585,"Loss et al., 2012",No,0.3267,3,0.1089,Yelow mustard,,,,2010,Apr,45.660556,-90.103553,US,Wisconsin,,,,Hardwook Forest,Tilia americana,Sugar maple/basswood,,,670,,,,20,-15,,,,,,,,,,7,22,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
75,CZSP,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,June,42.983847,-75.84985,US,New York,214,277,,yard,,,,,,6.12,,,,,,,,,,,,,,7,23,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
90,REST,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2014,June,42.88978333,-75.58923333,US,New York,60.3,366,,deciduous forest,,,,,,6.7,,,,,,,,,,,,,,7,24,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
129,HOGO,"McCay & Scull, 2019",N,NA,NA,0.36,mustard,,50,Other NY sites,2013,July,Not listed,,US,New York,,,,streamside,,,,,,NA,,,,,,,,,,,,,,7,25,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,7
203,3,Hopfensperger&Hamilton2015,N,1.08,12,0.09,mustard,NA,NA,x3 400 m2 stands in each site,2011,July,39.251,-84.7325,US,Ohio,,,,mesophytic forest,Fagus grandifolia,Ehrh,,,1120,6.02,Robertson et al. (1999).,57,27,,27,19.5,,,2.16,,,,,7,26,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
42,BEAT,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,June,42.81725,-75.50283333,US,New York,43,436,,plantation,,,,,,5.75,,,,,,,,,,,,,,7,27,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
81,GVYD,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2014,June,42.935431,-75.851526,US,New York,55.69,383,,yard,,,,,,6.12,,,,,,,,,,,,,,7,28,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
99,SMM-PL-2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.81283333,-75.76545,US,New York,53.852,577,,plantation,,,,,,4.8,,,,,,,,,,,,,,7,29,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
57,CBP-YD-2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.80238333,-75.62243333,US,New York,384.838,456,,yard,,,,,,7.43,,,,,,,,,,,,,,6,30,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
84,KIY-YD,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2012,Nov,42.49538,-75.32381,US,New York,27,346,,yard,,,,,,4.67,,,,,,,,,,,,,,6,31,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
108,SPF-SM-3,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.88076667,-75.72696667,US,New York,290,516,,deciduous forest,,,,,,6.19,,,,,,,,,,,,,,6,32,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
109,WCF-MF-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2012,Oct,42.53014,-75.52595,US,New York,25,436,,deciduous forest,,,,,,6.13,,,,,,,,,,,,,,6,33,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
111,BPDF2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2015,Oct,42.8036,-75.624517,US,New York,,487,,deciduous forest,,,,,,5.12,,,,,,,,,,,,,,6,34,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
149,RIN-F,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.447808,-76.362714,US,New York,,,,forest; history of timber harvest,,,,,,,,,,,,,,,,,,,,6,35,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6
161,Arnot,"Bohlen et al., 2004",N,1,4,0.25,Formalin,,,,1999,April,42.2666667,-76.46666667,US,New York,,,,Secondary-growth forest,A. saccharum,Sugar maple,,,1000,4.5-5,NA,,,,22 C,,,,,,,,,6,36,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6
544,L. terrestris dominant,"Fahey et al., 2013",N,?,4-7,0.25,mustard,,,"Arnot Forest, Tompkin's County",2008-2009,"May, Oct",42.25,-76.666667,US,NY,,600-620,,secondary forest,A. saccharum,Sugar maple,,,900,,,,20,-4,,,,,,,,,,6,37,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
641,Honorable Eugene F. Whelan Research Farm,"Fox et al., 2017",N,0.36,8,,Formalin/mustard,50,0,"All ""sites"" (e.g. CT83, NT97-CT83, NT83, CT97-NT83, RT83, CT97-RT83, BG83, CT97-BG83) were side by side. Replicates were probably 50 m apart (according to Dr. Drury, one of the authors)","1997-1999, 2001, 2003",,42.21,-82.75,CA,Ontario,,,,tillage fields,,,,,832,,,,,,8.9,,,,,,,,,6,38,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
642,Worm,"Jennings & Watmough, 2016",N,1.8,10,0.18,mustard/hand sorting,NA,NA,"other sites were not far enough away, used site with most worms",2014,October,44.750279,-78.265126,CA,Ontario,,,,hardwood forest,A. saccharum,sugar maple,Fagus grandifola,american beech and sugar maple saplings,920,4.1,?,,17.8,-8.4,,,,,,,,,,6,39,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
711,1561,"Loss et al., 2012",No,0.3267,3,0.1089,Yelow mustard,,,,2010,Oct,45.963248,-90.22566,US,Wisconsin,,,,Hardwook Forest,Tilia americana,Sugar maple/basswood,,,670,,,,20,-15,,,,,,,,,,6,40,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
714,1581,"Loss et al., 2012",No,0.3267,3,0.1089,Yelow mustard,,,,2010,Jan,45.659922,-90.096294,US,Wisconsin,,,,Hardwook Forest,Tilia americana,Sugar maple/basswood,,,670,,,,20,-15,,,,,,,,,,6,41,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
718,1589,"Loss et al., 2012",No,0.3267,3,0.1089,Yelow mustard,,,,2010,May,45.677598,-90.102249,US,Wisconsin,,,,Hardwook Forest,Tilia americana,Sugar maple/basswood,,,670,,,,20,-15,,,,,,,,,,6,42,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29,Site 15,"Duffy, 2020",N,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81745,-75.50292,US,New York,NA,,,forest,,,,,,5.9,,32.12100612,,,,,,,,14.12880679,,,,6,43,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
77,ESF-PP-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.75596667,-75.5893,US,New York,170,460,,plantation,,,,,,5.85,,,,,,,,,,,,,,6,44,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
95,SBC-SM-1,"McCay & Scull, 2019",N,2.16,6,0.36,mustard,,50,Madison County site,2009,July,42.8459,-75.30208333,US,New York,40,436,,deciduous forest,,,,,,5.13,,,,,,,,,,,,,,6,45,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
110,BPDF1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2015,Oct,42.802917,-75.625317,US,New York,459,478,,deciduous forest,,,,,,5.05,,,,,,,,,,,,,,6,46,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
131,HP02,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Other NY sites,2013,July,,,US,New York,,,,deciduous forest,,,,,,5.2,,,,,,,,,,,,,,6,47,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
201,1,Hopfensperger&Hamilton2015,N,1.08,12,0.09,mustard,NA,NA,x3 400 m2 stands in each site,2011,July,39.303333,-84.604722,US,Ohio,,,,mesophytic forest,Fagus grandifolia,Ehrh,,,1120,6.02,Robertson et al. (1999).,57,27,,27,19.5,,,2.16,,,,,6,48,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
643,Cornfield,"Whalen, 2004",N,9.386,65,0.1444,hand/formalin,NA,NA,,2001-2002,,45.05,-75.183333,CA,Quebec,,,,agriculture,NA,NA,,corn,940,5.9,soil/water slurry,,18,-10.3,,,,,,,,,,6,49,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
87,LSF-PP-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.76071667,-75.63818333,US,New York,98.489,483,,plantation,,,,,,5.83,,,,,,,,,,,,,,6,50,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
56,CBP-YD-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.80723333,-75.6241,US,New York,22.361,495,,yard,,,,,,5.91,,,,,,,,,,,,,,5,51,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
65,CGC-YD-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.82188333,-75.54235,US,New York,60,340,,yard,,,,,,7.03,,,,,,,,,,,,,,5,52,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
66,CGC-YD-2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.8174,-75.53415,US,New York,250,378,,yard,,,,,,7.21,,,,,,,,,,,,,,5,53,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
166,4,"Wellnitz et al., 2020",N,0.6,3,0.2,mustard,,island,islands in MN boundary waters,2016,July,47.921167,-91.492667,US,Minnesota,NA,,,mixed forest,,"pine, cedar, fir, birch, aspen",,,660-780,,,,20,-11,NA,,,,,10.37,,,,5,54,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5
171,9,"Wellnitz et al., 2020",N,0.6,3,0.2,mustard,,island,islands in MN boundary waters,2016,July,47.917167,-91.486833,US,Minnesota,NA,,,mixed forest,,"pine, cedar, fir, birch, aspen",,,660-780,,,,20,-11,NA,,,,,7.21,,,,5,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5
211,A400,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.14332,-90.9312,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,5,56,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
252,F400,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.37653,-91.2663,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,5,57,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
256,G100,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.38722,-91.3132,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4.3,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,5,58,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
257,G150,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.38747,-91.3138,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,5,59,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
336,Q400,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2002,June,46.35247,-91.293,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4.5,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,5,60,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
353,T100,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2002,June,46.40128,-91.2693,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,5,61,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
355,T200,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2002,June,46.4002,-91.2695,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4.6,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,5,62,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
362,AA150,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,July,47.58164,-94.553,US,Minnesota,,,,hardwood forest,,"maple, aspen, and birch",,,670,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,20,-15,,,,,,,,,,5,63,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
363,AA200,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,July,47.5817,-94.5536,US,Minnesota,,,,hardwood forest,,"maple, aspen, and birch",,,670,5.5,"Corning 240 pH meter (Corning, Corning, New York, USA)",,20,-15,,,,,,,,,,5,64,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
384,DD50,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,August,47.2474,-94.4006,US,Minnesota,,,,hardwood forest,,"maple, aspen, and birch",,,670,5.7,"Corning 240 pH meter (Corning, Corning, New York, USA)",,20,-15,,,,,,,,,,5,65,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
397,EE450,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,August,47.22474,-94.4183,US,Minnesota,,,,hardwood forest,,"maple, aspen, and birch",,,670,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,20,-15,,,,,,,,,,5,66,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
440,LL350,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2002,August,47.24264,-94.359,US,Minnesota,,,,hardwood forest,,"maple, aspen, and birch",,,670,5.5,"Corning 240 pH meter (Corning, Corning, New York, USA)",,20,-15,,,,,,,,,,5,67,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
