"my.site.num,study.site,study,""jumping.worms (Amynthus, metaphire, megascolecids)"",area.sampled.m2,site.replicates,replicate.size.m2,collection.method,replicate.mindistance.m,site.mindistance,sampling.notes,sample.year,sample.month,latitude,longitude,country,state/province,dist.road,elevation,altitude.m.asl,habitat.type,dom.tree.spp,dom.tree,dom.veg.spp,dom.veg,annual.precip.mm,ph,ph.method,soil.moisture.pct,mean.july.tempc,mean.jan.tempc,mean.study.temp,soil.temp,mean.annu.soil.temp,organic.C.kg,organic.N,soil.organic.matter%,,Allolobophora.chlorotica,Amynthas.agrestis,Aporrectodea.caliginosa,Aporrectodea.rosea,Aporrectodea.trapezoides,Aporrectodea.tuberculata ,Aporrectodea.turgida,Bimastos.rubidus,Aporrect.unknown,Bimastos.parvus,Dendrobaena.octaedra,Dendrobaena.unknown,Dendrodrilus.unknown,Eisenia.fetida,Eisenia.hortensis,Eisenia.lucens,Eisenia.teteadra,Lumbricus.castaneus,Lumbricus.octaedra,Lumbricus.rubellus,Lumbricus.terrestris,Lumbricus.unknown,Octolasion.cyaneum,Octalasion.tyrtaeum,Octalasian.unknown,anecic.unknown,endo.unknown,epi.unknown,epi/endo.unknown,Unknown"
"9,Ada Lake,""Corio et al., 2009"",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.36963,-88.73013,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple ,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"10,Headwaters Wild near,""Corio et al., 2009"",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.88197,-88.95522,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"11,Headwaters Wild far,""Corio et al., 2009"",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.88126,-88.95715,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"12,Kaine Lake E near,""Corio et al., 2009"",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,46.06002,-88.90421,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"13,Kaine Lake W far,""Corio et al., 2009"",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,46.03518,-88.54327,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"14,Keyes Lake W far,""Corio et al., 2009"",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.95564,-88.60047,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"15,Keyes Lake E near,""Corio et al., 2009"",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.95373,-88.60439,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"16,Lauterman Lake,""Corio et al., 2009"",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.91646,-88.50505,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"17,Lost Lake,""Corio et al., 2009"",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.88377,-88.55656,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"18,Perch Lake,""Corio et al., 2009"",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.95383,-88.50845,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
